,word,word_cut
1335,距离纵联保护,距离n 纵联n 保护v
1336,零序电流构成的定子接地保护,零序n 电流n 构成v 的uj 定子n 接地v 保护v
1337,零序互感的影响,零序n 互感n 的uj 影响vn
1338,母线和变压器共用保护,母线n 和c 变压器n 共用n 保护v
1339,能量方向继电器,能量n 方向n 继电器n
1340,逆功率保护,逆vg 功率n 保护v
1341,频窗,频窗n
1342,频率分量,频率n 分量n
1343,轻瓦斯与重瓦斯保护,轻a 瓦斯nrt 与p 重a 瓦斯nrt 保护v
1344,弱电源端保护,弱a 电源n 端v 保护v
1345,三端输电线保护,三端m 输电线n 保护v
1346,数字式保护,数字式n 保护v
1347,数字信号处理,数字n 信号处理n
1348,双母线保护,双n 母线n 保护v
1349,特高压输电,特高压n 输电v
1350,跳闸继电器,跳闸v 继电器n
1351,通讯接口,通讯nz 接口v
1352,通讯通道,通讯nz 通道v
1353,有互感线路,有v 互感n 线路n
1354,暂态保护,暂态n 保护v
1355,重负荷,重a 负荷n
1356,重合闸后加速保护,重合vn 闸n 后f 加速v 保护v
1357,重合闸前加速保护,重合vn 闸n 前f 加速v 保护v
1358,自动重合闸,自动vn 重合vn 闸n
1359,纵联差动继电器,纵联n 差动n 继电器n
1360,阻抗变换器,阻抗v 变换器l
1361,阻抗圆,阻抗v 圆n
1362,最小负荷阻抗,最小a 负荷n 阻抗v
1363,闭锁信号,闭锁v 信号n
1364,电弧接地故障,电弧n 接地v 故障n
1365,中性点绝缘系统,中性点n 绝缘n 系统n
1366,非故障相,非h 故障n 相v
1367,电力线载波,电力线n 载波n
1368,并行出口,并行v 出口vn
1369,串行接口,串行接口n
1370,监控与数据采集,监控vn 与p 数据n 采集v
1371,扫描,扫描v
1372,自检,自检v
1373,告警,告警v
1374,脉冲,脉冲n
1375,小电流接地系统,小a 电流n 接地系统l
1376,负荷形式,负荷n 形式n
1377,电压不稳,电压n 不d 稳a
1378,快速响应,快速d 响应v
1379,动态特性,动态n 特性n
1380,遥测数据,遥测vn 数据n
1381,非常态,非常态n
1382,功率逆潮流,功率n 逆vg 潮流n
1383,开关冲击,开关v 冲击vn
1384,连锁故障,连锁vn 故障n
1385,时间间隔,时间n 间隔n
1386,时间电流特性,时间n 电流n 特性n
1387,阶梯型时间配置,阶梯n 型k 时间n 配置v
1388,母联断路器,母联n 断路器n
1389,压板,压板n
1390,同期检查,同期b 检查vn
1391,电力系统控制,电力n 系统控制n
1392,电力系统暂态,电力系统l 暂态n
1393,电力系统分析与计算,电力n 系统分析l 与p 计算v
1394,故障检测继电器,故障n 检测vn 继电器n
1395,动圈式继电器,动圈n 式k 继电器n
1396,电压初始角,电压n 初始v 角n
1397,隐形故障,隐形n 故障n
1398,铁芯,铁芯n
1399,收迅机,收v 迅ag 机ng
1400,发迅机,发v 迅ag 机ng
1401,保护判据,保护v 判据v
1402,光纤通信,光纤通信l
1403,螺管式继电器,螺n 管式n 继电器n
1404,短期负荷预测,短期b 负荷n 预测vn
1405,偏移特性,偏移v 特性n
1406,傅立叶算法,傅立叶nr 算法n
1407,最小二乘算法,最小a 二m 乘v 算法n
1408,卡尔曼滤波算法,卡尔曼滤波nz 算法n
1409,零序电流补偿,零序n 电流n 补偿vn
1410,绝对值比较,绝对值l 比较d
1411,精确工作电流,精确a 工作vn 电流n
1412,精确工作电压,精确a 工作电压n
1413,电流互感器的饱和问题,电流n 互感器n 的uj 饱和a 问题n
1414,电流差动判据,电流n 差动n 判据v
1415,具有制动特性的差动继电器,具有v 制动v 特性n 的uj 差动n 继电器n
1416,故障分量算法,故障n 分量n 算法n
1417,光纤纵联保护,光纤n 纵联n 保护v
1418,发电机定子绕组短路故障,发电机n 定子n 绕组n 短路n 故障n
1419,发电机定子绕组单相接地保护,发电机n 定子n 绕组n 单相接地i 保护v
1420,发电机的失步保护,发电机n 的uj 失步vn 保护v
1421,高阻抗母线差动保护,高a 阻抗v 母线n 差动n 保护v
1422,非正弦信号,非h 正弦n 信号n
1423,移相算法,移v 相v 算法n
1424,变压器保护配置原则,变压器n 保护v 配置v 原则n
1425,发电机横差动保护,发电机n 横v 差动n 保护v
1426,近距离故障,近距离l 故障n
1427,极化特性,极化n 特性n
1428,合成转矩,合成v 转矩n
1429,静态距离继电器,静态n 距离n 继电器n
1430,自极化姆欧,自p 极化n 姆x 欧j
1431,导纳继电器,导纳v 继电器n
1432,整流桥,整流桥n
1433,杆塔,杆塔n
1434,机械锁,机械锁n
1435,气动的,气动n 的uj
1436,衔铁吸合式继电器,衔铁v 吸v 合式n 继电器n
1437,双稳态,双稳态n
1438,挡板,挡板n
1439,颤振,颤振v
1440,触点的接点,触点n 的uj 接点n
1441,多触点接触器,多m 触点n 接触器nz
1442,触点颤动,触点n 颤动v
1443,端子排,端子n 排v
1444,损失,损失n
1445,故障引起的混乱,故障n 引起v 的uj 混乱a
1446,瓦解,瓦解v
1447,跳闸用蓄电池,跳闸v 用p 蓄电池n
1448,试验端子,试验vn 端子n
1449,试验插头,试验vn 插头n
1450,夹式引线,夹式n 引线n
1451,双头夹式引线,双头n 夹式n 引线n
1452,延时继电器,延时ns 继电器n
1453,跳线,跳线n
1454,双相同时接地故障,双n 相同d 时n 接地v 故障n
1455,电压调节,电压n 调节vn
1456,过激磁,过ug 激磁n
1457,扭转振动,扭转v 振动vn
1458,比率差动保护,比率n 差动n 保护v
1459,可用输电容量,可用v 输电v 容量n
1460,年最大负荷曲线,年m 最大a 负荷n 曲线n
1461,区域控制误差,区域n 控制v 误差n
1462,分区电价,分区n 电价n
1463,自动发电控制,自动vn 发电vn 控制v
1464,可用容量申报期,可用v 容量n 申报nz 期n
1465,可用发电容量,可用v 发电vn 容量n
1466,可用传输容量,可用v 传输vn 容量n
1467,热电联产,热电n 联产j
1468,竞争性电力市场,竞争性n 电力n 市场n
1469,并网,并c 网n
1470,合同电量,合同a 电量n
1471,差价和约,差价n 和约n
1472,输电容量需求,输电v 容量n 需求v
1473,配电,配电vn
1474,配电商,配电vn 商n
1475,电力负荷管理,电力n 负荷n 管理vn
1476,电力配电公司,电力n 配电vn 公司n
1477,电能远期合同,电能n 远期b 合同a
1478,电力市场运营系统,电力n 市场n 运营vn 系统n
1479,电力交易协议,电力n 交易n 协议n
1480,可再生能源,可v 再生能源l
1481,电能现货市场,电能n 现货n 市场n
1482,企业资源计划,企业n 资源n 计划n
1483,金融输电权,金融n 输电v 权n
1484,固定输电权,固定a 输电v 权n
1485,基于潮流的输电权,基于p 潮流n 的uj 输电v 权n
1486,关口输电权,关口n 输电v 权n
1487,关口金融输电权,关口n 金融n 输电v 权n
1488,强迫停机,强迫a 停机n
1489,矿物燃料税,矿物n 燃料n 税n
1490,频率控制辅助服务,频率n 控制v 辅助vn 服务vn
1491,发电量,发电量n
1492,发电报价系统,发电vn 报价n 系统n
1493,输电网技术规范,输电网nz 技术规范n
1494,电网拥有者,电网n 拥有者n
1495,电网管理费,电网n 管理费vn
1496,独立发电商,独立v 发电vn 商n
1497,可中断电价,可v 中断ns 电价n
1498,负荷特性,负荷n 特性n
1499,负荷预测,负荷n 预测vn
1500,负荷频率控制,负荷n 频率n 控制v
1501,负荷拟合曲线,负荷n 拟合v 曲线n
1502,负荷服务企业,负荷n 服务vn 企业n
1503,节点边际电价,节点n 边际n 电价n
1504,分区边际电价,分区n 边际n 电价n
1505,电力不足概率,电力n 不足a 概率n
1506,网损,网n 损n
1507,低压连网费,低压v 连nr 网费n
1508,边际成本定价,边际n 成本n 定价n
1509,边际电价,边际n 电价n
1510,市场出清价格,市场n 出v 清t 价格n
1511,日最小负荷,日m 最小a 负荷n
1512,输电权模型,输电v 权n 模型n 　x
1513,网络阻塞,网络n 阻塞v
1514,新电力交易规则,新a 电力n 交易规则n
1515,节点电价,节点n 电价n
1516,非竞价机组,非h 竞价vn 机组n
1517,非矿物燃料契约,非h 矿物n 燃料n 契约ns 　x
1518,卖方垄断电力市场,卖方n 垄断v 电力n 市场n
1519,开放接入,开放v 接入v
1520,输电网实时信息发布系统,输电网nz 实时d 信息n 发布v 系统n
1521,无功优化,无功a 优化vn
1522,输电权模式,输电v 权n 模式n
1523,按报价结算,按p 报价n 结算v
1524,物理输电权,物理n 输电v 权n
1525,点对点式输电权,点对点n 式k 输电v 权n
1526,电力库,电力n 库n
1527,市场购电价,市场n 购v 电价n
1528,市场售电价,市场n 售v 电价n
1529,电力经纪人,电力n 经纪人n
1530,电力市场,电力n 市场n
1531,发电经纪商,发电vn 经纪商n
1532,电力交易所,电力n 交易所nt
1533,电力购销协议,电力n 购销v 协议n
1534,电力转运,电力n 转运v
1535,收容性供电商,收容n 性n 供电vn 商n
1536,负荷响应率,负荷n 响应v 率v
1537,无功市场,无功a 市场n
1538,实时市场,实时d 市场n
1539,实时平衡市场,实时d 平衡a 市场n
1540,实时电价,实时d 电价n
1541,地区输电组织,地区n 输电v 组织v
1542,调频市场出清价格,调频vn 市场n 出v 清t 价格n
1543,地热能,地热能n
1544,系统电价,系统n 电价n
1545,目录电价,目录n 电价n
1546,失负荷电价,失zg 负荷n 电价n
1547,最大输电能力,最大a 输电v 能力n
1548,输电与辅助服务市场,输电v 与p 辅助vn 服务vn 市场n
1549,输电阻塞,输电v 阻塞v
1550,输电阻塞合同,输电v 阻塞v 合同a
1551,输电阻塞权,输电v 阻塞v 权n
1552,输电负荷切除,输电v 负荷n 切除v
1553,输电网络或输电系统,输电v 网络n 或c 输电v 系统n
1554,输电业者,输电v 业者n
1555,输电可靠性裕度,输电v 可靠性n 裕度nz
1556,输电收入要求,输电v 收入v 要求v
1557,输电权,输电v 权n
1558,上浮电价,上浮v 电价n
1559,负荷停电损失,负荷n 停电v 损失n
1560,电力批发市场,电力n 批发市场n
1561,交直流,交直流n
1562,起始次暂态短路电流,起始v 次q 暂态n 短路n 电流n
1563,稳态短路电流,稳态n 短路n 电流n
1564,临界电流,临界b 电流n
1565,切断电流,切断v 电流n
1566,熔断电流,熔断v 电流n
1567,故障电流,故障n 电流n
1568,计算电流,计算v 电流n
1569,极限有限电流,极限a 有限a 电流n
1570,过电流,过ug 电流n
1571,逆电流,逆vg 电流n
1572,整定电流,整定b 电流n
1573,电流密度,电流密度n
1574,短路电流最大有效值,短路n 电流n 最大a 有效值l
1575,激磁电压,激磁n 电压n
1576,临界电压,临界b 电压n
1577,残留电压,残留v 电压n
1578,击穿电压,击穿v 电压n
1579,脉动电压,脉动n 电压n
1580,供电电压,供电vn 电压n
1581,电力电压,电力n 电压n
1582,照明电压,照明v 电压n
1583,灯丝电压,灯丝n 电压n
1584,电压损失,电压n 损失n
1585,过欠电压,过欠v 电压n
1586,线路电压,线路n 电压n
1587,电压降,电压n 降v
1588,工作电压,工作电压n
1589,一次电压,一次m 电压n
1590,二次电压,二次m 电压n
1591,电源,电源n
1592,自控电压,自控vn 电压n
1593,控制闪光电源,控制v 闪光n 电源n
1594,工作电源,工作vn 电源n
1595,保安电源,保安nz 电源n
1596,直流稳压电源,直流n 稳压电源n
1597,控制电源,控制v 电源n
1598,直流电源,直流电源n
1599,交流电源,交流电源n
1600,设备容量,设备vn 容量n
1601,需要容量,需要v 容量n
1602,安装高度,安装v 高度n
1603,耐电压,耐nz 电压n
1604,工频耐压,工频n 耐压nz
1605,表面闪络,表面n 闪络n
1606,直流泄漏,直流n 泄漏v
1607,体电阻率,体n 电阻率n
1608,介质损失角,介质n 损失n 角n
1609,击穿强度,击穿v 强度n
1610,比重,比重n
1611,相序,相序a
1612,瞬时,瞬时t
1613,倾角,倾角n
1614,跨度,跨度n
1615,正极,正极ad
1616,负极,负极n
1617,辅助电源,辅助vn 电源n
1618,遮断容量,遮断v 容量n
1619,载流量,载v 流量n
1620,校正系数,校正n 系数n
1621,连续负荷,连续a 负荷n
1622,长期载流量,长期d 载v 流量n
1623,长时间额定值,长时间l 额定值n
1624,电动机堵转电流,电动机n 堵转v 电流n
1625,限定负荷,限定v 负荷n
1626,电感负荷,电感n 负荷n
1627,感应电流,感应电流n
1628,合闸电源,合闸vn 电源n
1629,闪光母线,闪光n 母线n
1630,装在支柱上的插接式母线,装v 在p 支柱n 上f 的uj 插接v 式k 母线n
1631,装在吊钩上的插接式母线,装v 在p 吊钩nz 上f 的uj 插接v 式k 母线n
1632,装在支架上的插接式母线,装v 在p 支架n 上f 的uj 插接v 式k 母线n
1633,小母线,小a 母线n
1634,电源小母线,电源n 小a 母线n
1635,操作小母线,操作v 小a 母线n
1636,事故信号小母线,事故n 信号n 小a 母线n
1637,闪光小母线,闪光n 小a 母线n
1638,主母线,主b 母线n
1639,直流主母线,直流n 主b 母线n
1640,预告母线,预告v 母线n
1641,干线,干线n
1642,照明干线,照明v 干线n
1643,接地干线,接地v 干线n
1644,插座干线,插座n 干线n
1645,电压干线,电压n 干线n
1646,端子出线,端子n 出线n
1647,中性线,中性线n
1648,支线,支线n
1649,引入线,引入v 线n
1650,电气线路,电气n 线路n
1651,交流配电线路,交流n 配电vn 线路n
1652,直流配电线路,直流n 配电vn 线路n
1653,事故照明线路,事故n 照明v 线路n
1654,控制线路,控制v 线路n
1655,接地或接零线路,接地v 或c 接零v 线路n
1656,信号线路,信号n 线路n
1657,有接地极的接地线路网,有v 接地v 极的d 接地线j 路网n
1658,定子绕组测温回路,定子n 绕组n 测温nz 回路v
1659,接地信号回路,接地v 信号n 回路v
1660,闪光信号回路,闪光n 信号n 回路v
1661,开阀回路,开阀n 回路v
1662,关闭阀回路,关闭v 阀n 回路v
1663,开度计回路,开度n 计n 回路v
1664,电流测量回路,电流n 测量vn 回路v
1665,差动保护回路,差动n 保护v 回路v
1666,过流保护回路,过流n 保护v 回路v
1667,合闸回路,合闸vn 回路v
1668,停车延时回路,停车v 延时ns 回路v
1669,掉闸回路,掉v 闸n 回路v
1670,激磁回路,激磁n 回路v
1671,备用回路,备用v 回路v
1672,主回路,主b 回路v
1673,馈路,馈路v
1674,现有回路,现有b 回路v
1675,单线回路,单线n 回路v
1676,接地回路,接地v 回路v
1677,有电压的电路,有v 电压n 的uj 电路n
1678,高压开关柜,高压n 开关柜n
1679,动力配电箱,动力n 配电箱nz
1680,电源配电箱,电源n 配电箱nz
1681,直流配电屏,直流n 配电vn 屏n
1682,交流低压配电屏,交流n 低压配电n 屏n
1683,静电电容器柜,静电n 电容器n 柜n
1684,多种电源插销箱,多种m 电源n 插销v 箱q
1685,控制箱,控制箱n
1686,照明配电箱,照明v 配电箱nz
1687,连接箱,连接v 箱q
1688,出线盒,出线n 盒q
1689,开关箱,开关v 箱q
1690,控制台,控制台v
1691,分段屏,分段n 屏n
1692,进线屏,进线n 屏n
1693,电控箱,电控箱n
1694,边屏,边屏n
1695,端子箱,端子n 箱q
1696,供电盘,供电vn 盘q
1697,瓶车箱,瓶n 车箱n
1698,感应调压器专用变压器高压柜,感应v 调压器n 专用n 变压器n 高压柜n
1699,电压互感器柜,电压n 互感器n 柜n
1700,信号屏,信号n 屏n
1701,浮充屏,浮充v 屏n
1702,蓄电池屏,蓄电池n 屏n
1703,充电屏,充电v 屏n
1704,母线联络柜,母线n 联络n 柜n
1705,转换开关,转换开关l
1706,电压表转换开关,电压表n 转换开关l
1707,铁壳开关,铁壳n 开关v
1708,管式熔断器,管式n 熔断器n
1709,真空断路器,真空n 断路器n
1710,自动开关,自动开关l
1711,负荷开关,负荷n 开关v
1712,三极高压断路器,三极ns 高压n 断路器n
1713,刀开关,刀开关i
1714,双极铁壳开关,双极n 铁壳n 开关v
1715,风扇变速开关,风扇n 变速v 开关v
1716,密闭照明灯开关,密闭v 照明灯n 开关v
1717,防爆照明灯开关,防爆v 照明灯n 开关v
1718,高压隔离开关,高压n 隔离v 开关v
1719,明装单极板钮开关,明装v 单n 极板n 钮nr 开关v
1720,暗装单极板钮开关,暗装v 单n 极板n 钮nr 开关v
1721,三路开关,三路m 开关v
1722,气密式组合开关,气密n 式k 组合v 开关v
1723,防护式开关,防护v 式k 开关v
1724,联锁开关,联锁v 开关v
1725,操作方式选择开关,操作v 方式n 选择开关n
1726,控制电源开关,控制v 电源开关n
1727,主令开关,主令n 开关v
1728,多切点切换开关,多m 切点n 切换v 开关v
1729,控制按钮,控制v 按钮n
1730,防爆控制按钮,防爆v 控制v 按钮n
1731,事故紧急按钮,事故n 紧急a 按钮n
1732,起动按钮,起动v 按钮n
1733,停止按钮,停止v 按钮n
1734,现场按钮,现场n 按钮n
1735,音响解除按钮,音响n 解除v 按钮n
1736,起动器,起动器n
1737,磁力起动器,磁力n 起动器n
1738,综合起动器,综合vn 起动器n
1739,电力变压器,电力n 变压器n
1740,调压变压器,调压vn 变压器n
1741,照明变压器,照明v 变压器n
1742,三相三绕组变压器,三相n 三m 绕组n 变压器n
1743,高压试验变压器,高压n 试验vn 变压器n
1744,局部照明变压器,局部n 照明v 变压器n
1745,多量程仪用电流互感器,多m 量n 程仪nr 用p 电流n 互感器n
1746,降压变压器,降压v 变压器n
1747,伺服电动机,伺服v 电动机n
1748,双电压电动机,双n 电压n 电动机n
1749,交流异步电动机,交流n 异步电动l 机n
1750,三相滑环感应电动机,三相n 滑环vn 感应v 电动机n
1751,三相鼠笼感应电动机,三相n 鼠笼n 感应v 电动机n
1752,绕线式电动机,绕线n 式k 电动机n
1753,反应式电动机,反应式n 电动机n
1754,柴油发电机,柴油n 发电机n
1755,励磁发电机,励磁n 发电机n
1756,明装双极插座,明装v 双极n 插座n
1757,暗装双极插座,暗装v 双极n 插座n
1758,双极带接地插座,双极带n 接地v 插座n
1759,单相三孔明插座,单相n 三m 孔明nr 插座n
1760,防护式明装三相四孔插座,防护v 式k 明装v 三相n 四孔n 插座n
1761,配照型灯,配照v 型k 灯n
1762,搪瓷深照型灯,搪瓷n 深a 照型n 灯n
1763,防水防尘灯,防水v 防尘n 灯n
1764,安全灯,安全灯nr
1765,隔爆灯,隔v 爆灯v
1766,弯灯,弯灯n
1767,壁灯,壁灯n
1768,高压水银灯,高压n 水银灯n
1769,投光灯,投光灯n
1770,信号灯,信号灯n
1771,天棚灯,天棚n 灯n
1772,局部照明灯,局部n 照明灯n
1773,灯座,灯座n
1774,事故照明灯,事故n 照明灯n
1775,高压水银荧光灯,高压n 水银n 荧光灯n
1776,广照型工厂灯,广照n 型k 工厂n 灯n
1777,深照型灯具,深a 照型n 灯具n
1778,白炽灯具,白炽灯n 具v
1779,圆球型灯,圆球n 型k 灯n
1780,嵌入式荧光灯,嵌入式nz 荧光灯n
1781,红色障碍灯,红色n 障碍灯n
1782,厂区道路照明灯,厂区n 道路n 照明灯n
1783,路灯,路灯n
1784,视孔灯,视孔n 灯n
1785,立杆弯灯,立杆n 弯灯v
1786,模拟报警信号,模拟v 报警信号n
1787,自整角机,自p 整角n 机n
1788,励磁机,励磁机n
1789,显示器,显示器n
1790,电位器,电位器n
1791,内电阻,内电阻n
1792,固定电阻器,固定a 电阻器n
1793,脱扣,脱扣v
1794,分励,分励v
1795,特殊失压脱扣器,特殊a 失压v 脱扣器n
1796,或开关放大器,或c 开关v 放大器l
1797,制动器,制动器n
1798,镇流器,镇流器n
1799,分流器,分流器n
1800,油变阻器,油n 变阻器n
1801,频敏电阻器,频敏a 电阻器n
1802,滑线变阻器,滑线n 变阻器n
1803,蜂鸣器,蜂鸣器n
1804,电机加热器,电机n 加热器n
1805,空气断路器电机操作机构,空气n 断路器n 电机n 操作v 机构n
1806,可控硅励磁装置,可控硅nz 励磁n 装置n
1807,闪光装置,闪光n 装置n
1808,接闪装置,接闪v 装置n
1809,断相保护,断v 相v 保护v
1810,过电流继电器,过ug 电流n 继电器n
1811,电压继电器,电压n 继电器n
1812,温度继电器,温度n 继电器n
1813,瓦斯继电器,瓦斯nrt 继电器n
1814,控制电源中间继电器,控制v 电源n 中间f 继电器n
1815,自动操作继电器,自动vn 操作v 继电器n
1816,低电压继电器,低电压n 继电器n
1817,过电压继电器,过电压n 继电器n
1818,联锁继电器,联锁v 继电器n
1819,合闸位置继电器,合闸vn 位置v 继电器n
1820,逆流继电器,逆流n 继电器n
1821,差流继电器,差流n 继电器n
1822,电流继电器,电流n 继电器n
1823,接地继电器,接地v 继电器n
1824,重合闸继电器,重合vn 闸n 继电器n
1825,同步继电器,同步d 继电器n
1826,速动继电器,速动n 继电器n
1827,光电继电器,光电j 继电器n
1828,电子继电器,电子n 继电器n
1829,电磁式继电器,电磁式n 继电器n
1830,气压继电器,气压n 继电器n
1831,继电器常开触点,继电器n 常d 开v 触点n
1832,继电器常闭触点,继电器n 常d 闭v 触点n
1833,继电器保护触点常开,继电器n 保护v 触点n 常d 开v
1834,能自动返回的常闭按钮触点,能v 自动vn 返回v 的常d 闭v 按钮n 触点n
1835,模拟信号触点,模拟信号n 触点n
1836,强励磁接点,强a 励磁n 接点n
1837,电感线圈,电感线圈n
1838,电流线圈,电流n 线圈n
1839,脱扣线圈,脱扣v 线圈n
1840,释放线圈,释放v 线圈n
1841,掉闸线圈,掉v 闸n 线圈n
1842,予告信号,予告v 信号n
1843,掉闸回路断线信号,掉v 闸n 回路v 断线n 信号n
1844,断路器事故掉闸信号,断路器n 事故n 掉v 闸n 信号n
1845,掉闸音响信号,掉v 闸n 音响n 信号n
1846,重瓦斯预告信号,重a 瓦斯nrt 预告v 信号n
1847,温度预告信号,温度n 预告v 信号n
1848,手动自动操作时事故信号,手动n 自动vn 操作v 时n 事故n 信号n
1849,保护掉闸,保护v 掉v 闸n
1850,控制掉闸,控制v 掉v 闸n
1851,手动跳闸,手动n 跳闸v
1852,变电所紧急停车,变电所n 紧急停车i
1853,工艺故障,工艺n 故障n
1854,励磁故障,励磁n 故障n
1855,工作电源失电报警,工作vn 电源n 失电v 报警n
1856,工作电源分合闸,工作vn 电源n 分v 合闸vn
1857,工作电源投入,工作vn 电源n 投入v
1858,保安电源送电,保安nz 电源n 送电v
1859,运转指示,运转vn 指示v
1860,投入指示,投入v 指示v
1861,同步指示,同步d 指示v
1862,延时停车,延时ns 停车v
1863,电源切除,电源n 切除v
1864,速断及过流断通,速断n 及过c 流断v 通p
1865,自保持,自p 保持v
1866,自锁,自锁l
1867,联锁,联锁v
1868,电压监视,电压n 监视v
1869,联锁解除,联锁v 解除v
1870,工作保安电源切换,工作vn 保安nz 电源n 切换v
1871,发电机与工作母线并车,发电机n 与p 工作vn 母线n 并c 车n
1872,开或闭超扭矩保护,开v 或c 闭v 超v 扭矩n 保护v
1873,电机起动顺序,电机n 起动v 顺序n
1874,铭牌框注字,铭牌n 框注字n
1875,电流表,电流表n
1876,电压表,电压表n
1877,三相三线有功电度表,三相n 三线m 有功a 电度表n
1878,单相电度表,单相n 电度表n
1879,三相无功电度表,三相n 无功a 电度表n
1880,有功功率表,有功a 功率表n
1881,无功功率表,无功功率b 表v
1882,三相瓦特表功率表,三相n 瓦特nrt 表v 功率表n
1883,功率因数表,功率因数n 表v
1884,频率表,频率n 表v
1885,验电流器,验v 电流n 器n
1886,欧姆表,欧姆表nr
1887,相位表,相位v 表v
1888,转速表,转速表n
1889,波长表,波长n 表v
1890,三相四线制标准电度表,三相n 四线m 制n 标准n 电度表n
1891,过载电流表,过载v 电流表n
1892,低功率因数瓦特表,低a 功率因数n 瓦特nrt 表v
1893,交直流两用钳型电流表,交直流n 两用n 钳型n 电流表n
1894,兆欧表,兆欧表n
1895,微安表,微安a 表v
1896,毫安表,毫安表l
1897,各种测量仪表,各种r 测量vn 仪表n
1898,接地电阻测量仪,接地v 电阻n 测量仪nz
1899,真空管电压表,真空管n 电压表n
1900,电动秒表,电动n 秒表n
1901,避雷装置,避雷v 装置n
1902,避雷针,避雷针n
1903,避雷带,避雷v 带v
1904,避雷网,避雷v 网n
1905,避雷针支架,避雷针n 支架n
1906,避雷针尖,避雷针n 尖a
1907,避雷针拉铁,避雷针n 拉铁nz
1908,球型避雷器,球型n 避雷器n
1909,管形避雷器,管形n 避雷器n
1910,阀形避雷器,阀形n 避雷器n
1911,低压避雷器,低压v 避雷器n
1912,角形,角形n
1913,多隙避雷器,多m 隙ng 避雷器n
1914,铝避雷器,铝n 避雷器n
1915,氧化膜避雷器,氧化v 膜n 避雷器n
1916,击穿保险器,击穿v 保险n 器n
1917,雷击,雷击v
1918,直接雷击,直接ad 雷击v
1919,感应雷击,感应v 雷击v
1920,雷电日,雷电n 日m
1921,雷电或然率,雷电n 或然率n
1922,触电,触电v
1923,静电感应,静电感应l
1924,接地保护,接地v 保护v
1925,防雷接地,防雷v 接地v
1926,人工接地,人工n 接地v
1927,工作接地,工作vn 接地v
1928,重复接地,重复d 接地v
1929,屏蔽接地,屏蔽n 接地v
1930,接地系统,接地系统l
1931,单相接地,单相接地i
1932,母线接地,母线n 接地v
1933,引下线,引v 下线n
1934,引下线固定,引v 下线n 固定a
1935,支架夹板,支架n 夹板n
1936,引下线固定支脚,引v 下线n 固定a 支脚n
1937,接地线,接地线j
1938,接地网,接地v 网n
1939,接地极,接地v 极d
1940,接地电阻,接地v 电阻n
1941,接地电路,接地v 电路n
1942,连接条,连接v 条n
1943,断接卡,断接v 卡nr
1944,贮藏室,贮藏室n
1945,套间,套间n
1946,蓄电池室,蓄电池n 室n
1947,控制室,控制室n
1948,配电室,配电室n
1949,维修间,维修v 间f
1950,变电所,变电所n
1951,高压配电室,高压n 配电室n
1952,休息室,休息室nz
1953,砂轮机,砂轮机n
1954,台钻,台钻n
1955,交流电焊机,交流n 电焊机n
1956,移动式空气压缩机,移动式n 空气压缩机n
1957,手电钻,手n 电钻n
1958,单速手摇绕线机,单速d 手摇b 绕线机n
1959,导线钳压器,导线n 钳v 压器n
1960,油压千斤顶,油压n 千斤顶i
1961,电吹尘器,电n 吹v 尘器n
1962,存放柜,存放v 柜n
1963,泄漏试验变压器,泄漏v 试验vn 变压器n
1964,大电流发生器,大a 电流n 发生器l
1965,油浸自冷感应调压器,油浸n 自冷a 感应v 调压器n
1966,仪用电感互感器,仪用n 电感n 互感器n
1967,单相自耦变压器,单相n 自p 耦vn 变压器n
1968,三相自耦变压器,三相n 自p 耦vn 变压器n
1969,硅整流器,硅整流器n
1970,仪表试验台,仪表n 试验台n
1971,接触器继电器试验台,接触器nz 继电器n 试验台n
1972,慢扫描示波器,慢a 扫描v 示波器n
1973,交流电子稳压器,交流n 电子n 稳压器n
1974,携带式交流电桥,携带式n 交流电n 桥n
1975,电缆故障探伤仪,电缆n 故障n 探伤仪nr
1976,直流单臂电桥,直流n 单臂n 电桥n
1977,绝缘包布,绝缘n 包布v
1978,填料,填料n
1979,绝缘膏,绝缘n 膏n
1980,电缆膏,电缆n 膏n
1981,防腐油,防腐n 油n
1982,沥青漆,沥青n 漆v
1983,绝缘漆,绝缘漆n
1984,瓷漆,瓷漆n
1985,有色金属,有色金属n
1986,黑色金属,黑色金属n
1987,白金属,白a 金属n
1988,云母,云母nr
1989,环氧树脂,环氧树脂n
1990,聚氯乙烯,聚氯乙烯nz
1991,蜡,蜡n
1992,滑石粉,滑石粉nr
1993,电胶木,电n 胶木n
1994,聚丙烯外壳,聚丙烯nz 外壳n
1995,耐油橡胶管,耐油nz 橡胶管n
1996,接地铜线,接地v 铜线n
1997,垫圈,垫圈n
1998,塑料绝缘线,塑料n 绝缘线n
1999,橡套电缆,橡套n 电缆n
2000,中间接头,中间f 接头v
2001,填充剂,填充v 剂zg
2002,绝缘电线,绝缘n 电线n
2003,移动软电缆,移动vn 软a 电缆n
2004,补偿导线,补偿vn 导线n
2005,悬索,悬索v
2006,滑触线,滑触v 线n
2007,镀锌煤气管,镀锌n 煤气管n
2008,镀锌角钢,镀锌n 角钢n
2009,镀锌扁钢,镀锌n 扁钢n
2010,钢丝绳电笛电磁阀,钢丝绳n 电笛n 电磁阀n
2011,连接片,连接v 片q
2012,切换片,切换v 片q
2013,半导体二极管,半导体n 二极管n
2014,开度计,开度n 计n
